,date,dji
295,2023-04-05,9500200.916213494
296,2023-04-06,9507699.713827748
297,2023-04-10,9508919.879770316
298,2023-04-11,9554863.905935653
299,2023-04-12,9605348.549624972
300,2023-04-13,9578253.753621604
301,2023-04-14,9667223.631302746
302,2023-04-17,9652643.870677523
303,2023-04-18,9662515.213180104
304,2023-04-19,9641084.520828165
305,2023-04-20,9598632.080629632
306,2023-04-21,9613709.686739618
307,2023-04-24,9616963.462586468
308,2023-04-25,9623592.141864626
309,2023-04-26,9557592.054741668
310,2023-04-27,9496519.304403177
311,2023-04-28,9614798.72373754
312,2023-05-01,9705656.635969158
313,2023-05-02,9677439.465100586
314,2023-05-03,9594660.42937395
315,2023-05-04,9486881.32697158
316,2023-05-05,9458651.932218337
317,2023-05-08,9591391.095855704
318,2023-05-09,9555746.248156415
319,2023-05-10,9589129.677191654
320,2023-05-11,9497153.835143803
321,2023-05-12,9493366.65342042
322,2023-05-15,9479322.521196216
323,2023-05-16,9466281.858777238
324,2023-05-17,9414252.56057046
325,2023-05-18,9494499.02964581
326,2023-05-19,9553782.64777343
327,2023-05-22,9504165.899895718
328,2023-05-23,9442166.356846754
329,2023-05-24,9394134.26892724
330,2023-05-25,9346483.343957001
331,2023-05-26,9329766.626038918
332,2023-05-30,9417429.659322558
333,2023-05-31,9373352.553725084
334,2023-06-01,9367987.37961696
335,2023-06-02,9441306.239870844
336,2023-06-05,9607316.595056927
337,2023-06-06,9543746.83845892
338,2023-06-07,9547956.299834555
339,2023-06-08,9574843.289798524
340,2023-06-09,9630448.629902557
341,2023-06-12,9645912.955273028
342,2023-06-13,9704026.414259005
343,2023-06-14,9685142.734967511
344,2023-06-15,9657058.915568072
345,2023-06-16,9804432.291680558
346,2023-06-20,9731217.890077494
347,2023-06-21,9669740.640282633
348,2023-06-22,9644111.599177489
349,2023-06-23,9625674.64730759
350,2023-06-26,9595840.589875778
351,2023-06-27,9598185.353208037
352,2023-06-28,9638680.86059704
353,2023-06-29,9631054.26782487
354,2023-06-30,9749214.782099254
355,2023-07-03,9777623.090073584
356,2023-07-05,9770493.231523931
357,2023-07-06,9721184.303287469
358,2023-07-07,9626075.812977232
359,2023-07-10,9588697.396179214
360,2023-07-11,9688625.430836372
361,2023-07-12,9784877.409994425
362,2023-07-13,9789721.402110687
363,2023-07-14,9793425.23916586
364,2023-07-17,9814593.673628502
365,2023-07-18,9842285.21745624
366,2023-07-19,9954409.355227867
367,2023-07-20,9983076.587304762
368,2023-07-21,10034949.19753531
369,2023-07-24,10022565.291101813
370,2023-07-25,10076816.002531901
371,2023-07-26,10055337.525903523
372,2023-07-27,10115875.759103239
373,2023-07-28,10083074.631483216
374,2023-07-31,10089469.945690392
375,2023-08-01,10123613.478099689
376,2023-08-02,10113922.160080437
