date,dji
2023-04-27,9496519.304403177
2023-04-28,9614798.72373754
2023-05-01,9705656.635969158
2023-05-02,9677439.465100586
2023-05-03,9594660.42937395
2023-05-04,9486881.32697158
2023-05-05,9458651.932218337
2023-05-08,9591391.095855704
2023-05-09,9555746.248156415
2023-05-10,9589129.677191654
2023-05-11,9497153.835143803
2023-05-12,9493366.65342042
2023-05-15,9479322.521196216
2023-05-16,9466281.858777238
2023-05-17,9414252.56057046
2023-05-18,9494499.02964581
2023-05-19,9553782.64777343
2023-05-22,9504165.899895718
2023-05-23,9442166.356846754
2023-05-24,9394134.26892724
2023-05-25,9346483.343957001
2023-05-26,9329766.626038918
2023-05-30,9417429.659322558
2023-05-31,9373352.553725084
2023-06-01,9367987.37961696
2023-06-02,9441306.239870844
2023-06-05,9607316.595056927
2023-06-06,9543746.83845892
2023-06-07,9547956.299834555
2023-06-08,9574843.289798524
2023-06-09,9630448.629902557
2023-06-12,9645912.955273028
2023-06-13,9704026.414259005
2023-06-14,9685142.734967511
2023-06-15,9657058.915568072
2023-06-16,9804432.291680558
2023-06-20,9731217.890077494
2023-06-21,9669740.640282633
2023-06-22,9644111.599177489
2023-06-23,9625674.64730759
2023-06-26,9595840.589875778
2023-06-27,9598185.353208037
2023-06-28,9638680.86059704
2023-06-29,9631054.26782487
2023-06-30,9749214.782099254
2023-07-03,9777623.090073584
2023-07-05,9770493.231523931
2023-07-06,9721184.303287469
2023-07-07,9626075.812977232
2023-07-10,9588697.396179214
2023-07-11,9688625.430836372
2023-07-12,9784877.409994425
2023-07-13,9789721.402110687
2023-07-14,9793425.23916586
2023-07-17,9814593.673628502
2023-07-18,9842285.21745624
2023-07-19,9954409.355227867
2023-07-20,9983076.587304762
2023-07-21,10034949.19753531
2023-07-24,10022565.291101813
2023-07-25,10076816.002531901
2023-07-26,10055337.525903523
2023-07-27,10115875.759103239
2023-07-28,10083074.631483216
2023-07-31,10089469.945690392
2023-08-01,10123613.478099689
2023-08-02,10113922.160080437
2023-08-03,10012258.333800064
2023-08-04,10022377.487782784
2023-08-07,9992641.221428337
2023-08-08,10055169.725304864
2023-08-09,10049162.241620416
2023-08-10,10022778.653452424
2023-08-11,9988589.559291175
2023-08-14,10034826.958688604
2023-08-15,10019317.071566178
2023-08-16,9932717.516248876
2023-08-17,9908436.436244218
2023-08-18,9777218.590617213
2023-08-21,9823567.11623892
2023-08-22,9813010.124932546
2023-08-23,9768749.661065016
2023-08-24,9797550.244611045
2023-08-25,9734176.070167765
2023-08-28,9798065.870291693
2023-08-29,9823521.554486966
2023-08-30,9913611.584508827
2023-08-31,9931047.289097983
2023-09-01,9921701.573636238
2023-09-05,9912308.073898051
2023-09-06,9846439.115719737
2023-09-07,9772331.259273484
2023-09-08,9811086.5299903
2023-09-11,9857343.9321081
2023-09-12,9848811.660608064
2023-09-13,9862256.822483413
2023-09-14,9868008.715852022
2023-09-15,9929041.460749773
2023-09-18,9846612.47262961
2023-09-19,9835105.352105664
2023-09-20,9836146.604827145
2023-09-21,9766940.526133776
2023-09-22,9694353.987697883
2023-09-25,9646137.430246068
2023-09-26,9633361.248240871
2023-09-27,9582190.955747759
2023-09-28,9535715.746230377
2023-09-29,9639030.908203516
2023-10-02,9517525.494578375
2023-10-03,9478647.98501485
2023-10-04,9397666.971597027
2023-10-05,9416172.821725976
2023-10-06,9399521.66828022
2023-10-09,9461863.48009996
2023-10-10,9582362.090133147
2023-10-11,9621845.237618983
2023-10-12,9628516.144862369
2023-10-13,9596566.244120311
2023-10-16,9624753.410908328
2023-10-17,9635398.191931881
2023-10-18,9661118.356540935
2023-10-19,9578410.441597836
2023-10-20,9491856.448032489
2023-10-23,9385957.601344895
2023-10-24,9413444.672919963
2023-10-25,9445844.634870343
2023-10-26,9392828.535791978
2023-10-27,9326039.452476647
2023-10-30,9256381.09005047
2023-10-31,9396224.553205904
2023-11-01,9411234.37231908
2023-11-02,9518185.584350582
2023-11-03,9669248.351109084
2023-11-06,9698772.36637516
2023-11-07,9693947.265717026
2023-11-08,9725318.198830597
2023-11-09,9718999.561718171
2023-11-10,9678349.58887742
2023-11-13,9746178.81365199
2023-11-14,9837767.936439356
2023-11-15,9930372.75291662
2023-11-16,9919366.811664164
2023-11-17,9946901.66751567
2023-11-20,9937703.749932213
2023-11-21,9986734.86260798
2023-11-22,10010770.353656987
2023-11-24,10042225.742701007
2023-11-27,10064000.926348208
2023-11-28,10051394.767466152
2023-11-29,10081172.150523582
2023-11-30,10126623.88751537
2023-12-01,10217055.075045763
2023-12-04,10266819.620801762
2023-12-05,10279982.522067446
2023-12-06,10293661.049013777
2023-12-07,10276717.63359817
2023-12-08,10265522.777764441
2023-12-11,10313744.89152747
2023-12-12,10367163.267537719
2023-12-13,10412595.001809135
2023-12-14,10558770.437223908
2023-12-15,10581207.9331678
2023-12-18,10619795.403285958
2023-12-19,10614583.583367338
2023-12-20,10673843.86498786
2023-12-21,10589975.792263305
2023-12-22,10625237.254488833
2023-12-26,10641347.223222356
2023-12-27,10673414.91776215
2023-12-28,10714067.113127386
2023-12-29,10725477.553836212
2024-01-02,10686955.648190377
2024-01-03,10704881.419428598
2024-01-04,10646861.306471014
2024-01-05,10655446.918558702
2024-01-08,10619007.51835583
2024-01-09,10674817.33071253
2024-01-10,10683169.577729236
2024-01-11,10738424.870226795
2024-01-12,10758597.61371991
2024-01-16,10666279.502901284
2024-01-17,10606060.201965246
2024-01-18,10611450.935104951
2024-01-19,10688742.55787676
2024-01-22,10787472.651836205
2024-01-23,10798919.764199043
2024-01-24,10803352.589285476
2024-01-25,10771262.66950083
2024-01-26,10812259.356161326
2024-01-29,10843310.245748978
2024-01-30,10895200.636175409
2024-01-31,10931771.165322928
2024-02-01,10860240.326017672
2024-02-02,10937836.434644002
2024-02-05,10965905.807634281
2024-02-06,10922132.076629087
2024-02-07,10985000.626751903
2024-02-08,11010097.373242762
2024-02-09,11018591.86182654
2024-02-12,10997196.729866372
2024-02-13,11009261.704036193
2024-02-14,10916377.960735995
2024-02-15,10923566.716184512
2024-02-16,11024208.18120153
