date,ensemble
2023-12-11,10055931.978013285
2023-12-12,10089936.001183229
2023-12-13,10659303.01706104
2023-12-14,10807150.016003696
2023-12-15,10769506.723441102
2023-12-18,10724238.282619584
2023-12-19,10795894.52628228
2023-12-20,10630218.413282013
2023-12-21,10731051.62772073
2023-12-22,10801242.88783959
2023-12-26,10872743.958892502
2023-12-27,10886456.759178974
2023-12-28,10911176.87687534
2023-12-29,10858922.51304859
2024-01-02,10848433.1827729
2024-01-03,10720277.729293771
2024-01-04,10769949.09035853
2024-01-05,10800435.654199405
2024-01-08,10896482.75519495
2024-01-09,10851296.617301712
2024-01-10,10873659.431906585
2024-01-11,10935335.625501862
2024-01-12,10968952.938496994
2024-01-16,10947300.62010312
2024-01-17,10844436.99844114
2024-01-18,10911402.788020348
2024-01-19,11006712.69368639
2024-01-22,11086001.631858105
2024-01-23,11083071.285150472
2024-01-24,10939480.720440084
2024-01-25,11105857.368581371
2024-01-26,11075130.732674452
2024-01-29,11195696.173920766
2024-01-30,11251665.53059496
2024-01-31,11047503.95531136
2024-02-01,11191533.06016484
2024-02-02,11119470.064273434
2024-02-05,11102871.839630192
2024-02-06,11046023.673648084
2024-02-07,11043502.386458045
2024-02-08,11081210.170175992
2024-02-09,11127443.1369413
2024-02-12,11169761.97482334
2024-02-13,11014169.198981091
2024-02-14,11172001.914704757
2024-02-15,11315351.540156277
2024-02-16,11237269.466482917
2024-02-20,11173680.945111794
2024-02-21,11189876.123350758
2024-02-22,11379554.3755412
2024-02-23,11410410.807631116
2024-02-26,11468914.032523563
2024-02-27,11480443.173972944
2024-02-28,11494917.430240491
2024-02-29,11479378.401171308
2024-03-01,11696177.671902752
2024-03-04,11632538.422848944
2024-03-05,11506600.8333689
2024-03-06,11538910.65286475
2024-03-07,11592583.12253408
2024-03-08,11605365.108786436
2024-03-11,11607639.439132554
2024-03-12,11668933.445604837
2024-03-13,11682960.189884469
2024-03-14,11598792.225794708
2024-03-15,11624824.7479749
2024-03-18,11672222.281376883
2024-03-19,11769670.8005539
2024-03-20,11825900.299618935
2024-03-21,11932594.431064611
2024-03-22,11883826.087161535
2024-03-25,11843227.753639912
2024-03-26,11861488.756931912
2024-03-27,11979947.47065414
2024-03-28,12005331.287948476
2024-04-01,11942890.890865635
2024-04-02,11767683.920655591
2024-04-03,11793858.180750463
2024-04-04,11630409.348744651
2024-04-05,11750537.234235758
2024-04-08,11742177.50895554
2024-04-09,11718354.666787686
2024-04-10,11535516.238956854
2024-04-11,11571870.35735272
2024-04-12,11401245.28661186
2024-04-15,11324339.249684704
2024-04-16,11259095.18675403
2024-04-17,11176117.569035776
2024-04-18,11178833.952977791
2024-04-19,11219972.621115718
2024-04-22,11306575.324977243
2024-04-23,11497431.638519112
2024-04-24,11443739.832420943
2024-04-25,11496694.074310897
2024-04-26,11485904.280336518
2024-04-29,11553923.606801322
2024-04-30,11357621.499275306
2024-05-01,11393419.952352433
2024-05-02,11405395.791864304
2024-05-03,11474174.839775948
2024-05-06,11594232.288120346
2024-05-07,11671195.656376917
2024-05-08,11738066.4782708
2024-05-09,11802427.420196991
2024-05-10,11867926.642927436
2024-05-13,11875490.421814464
2024-05-14,11851537.745161556
2024-05-15,11972730.120318148
2024-05-16,11985406.78843224
2024-05-17,12022540.025215838
2024-05-20,12037657.919389842
2024-05-21,12053300.857503444
2024-05-22,12022627.41206544
2024-05-23,11928984.744897775
2024-05-24,12038207.427262155
2024-05-28,11890908.984720478
2024-05-29,11765890.517941816
2024-05-30,11798420.366803143
2024-05-31,11983352.876603276
2024-06-03,12050809.472841844
2024-06-04,12088334.2685856
2024-06-05,12193284.51421752
2024-06-06,12136621.85962774
2024-06-07,12113475.734650936
2024-06-10,12146919.241991583
2024-06-11,12090508.379663393
2024-06-12,12158952.914624888
2024-06-13,12175461.397960054
2024-06-14,12077931.942794766
2024-06-17,12146864.373770874
2024-06-18,12174712.899497513
2024-06-20,12195152.782907449
2024-06-21,12183931.95406188
2024-06-24,12305761.449308766
2024-06-25,12211685.152076812
2024-06-26,12171322.736611005
2024-06-27,12107742.972685032
2024-06-28,12080600.452588242
2024-07-01,11990455.875621216
2024-07-02,12029112.818341898
2024-07-03,11960295.520480229
2024-07-05,12063531.228349444
2024-07-08,12101869.027379457
2024-07-09,12111937.885220785
2024-07-10,12236037.8298924
2024-07-11,12407343.2519424
2024-07-12,12481385.107852891
2024-07-15,12396826.42050944
2024-07-16,12536119.885830842
2024-07-17,12445234.066045484
2024-07-18,12435737.765925543
2024-07-19,12408293.345397083
2024-07-22,12451091.88803658
2024-07-23,12433180.538759084
2024-07-24,12317613.408345258
2024-07-25,12374038.574222583
2024-07-26,12512428.853885897
2024-07-29,12497417.647807328
2024-07-30,12526462.946495911
2024-07-31,12506438.128652588
2024-08-01,12431895.351707898
2024-08-02,12208065.423466368
2024-08-05,11879600.487157645
2024-08-06,12021499.847852586
2024-08-07,11880996.658400545
2024-08-08,12066974.103098905
2024-08-09,12084957.054044737
2024-08-12,11979674.341255045
2024-08-13,12077061.933890916
2024-08-14,12107266.399192931
2024-08-15,12253312.9884421
2024-08-16,12290868.227643104
2024-08-19,12422255.453082064
