,account_value,date,daily_return,datadate
247,9836363.06836526,2023-01-26,0.0118124170937332,2023-01-26
248,9816261.179465571,2023-01-27,-0.0020436302279587,2023-01-27
249,9760475.036432063,2023-01-30,-0.0056830336941529,2023-01-30
250,9834697.521930788,2023-01-31,0.0076043927392548,2023-01-31
251,9886395.855717182,2023-02-01,0.0052567284017743,2023-02-01
252,9891883.659583908,2023-02-02,0.0005550863981995,2023-02-02
253,9854522.80413272,2023-02-03,-0.0037769202243893,2023-02-03
254,9838596.303447362,2023-02-06,-0.0016161615333294,2023-02-06
255,9881942.001980953,2023-02-07,0.0044056791433146,2023-02-07
256,9827582.95031935,2023-02-08,-0.0055008470653548,2023-02-08
257,9771424.46924067,2023-02-09,-0.005714373652461,2023-02-09
258,9788542.610742368,2023-02-10,0.0017518573218864,2023-02-10
259,9859706.87272554,2023-02-13,0.0072701590842616,2023-02-13
260,9847183.223136,2023-02-14,,2023-02-14
261,9875493.581640592,2023-02-15,0.0028749702186992,2023-02-15
262,9808860.625006584,2023-02-16,-0.0067473039279662,2023-02-16
263,9795857.120051583,2023-02-17,-0.0013256896445084,2023-02-17
264,9692259.712347137,2023-02-21,-0.010575634825501,2023-02-21
265,9662708.822199216,2023-02-22,-0.0030489164575597,2023-02-22
266,9686184.002999697,2023-02-23,0.0024294616791669,2023-02-23
267,9659876.462772224,2023-02-24,-0.0027159860084554,2023-02-24
268,9701004.834494086,2023-02-27,0.0042576498654371,2023-02-27
269,9716553.76264362,2023-02-28,0.0016028162458228,2023-02-28
270,9715862.784140771,2023-03-01,-7.111353672550891e-05,2023-03-01
271,9738339.845950546,2023-03-02,0.0023134396099604,2023-03-02
272,9792907.411387784,2023-03-03,0.0056033745279415,2023-03-03
273,9775372.910668992,2023-03-06,-0.0017905306342834,2023-03-06
274,9731598.522963615,2023-03-07,-0.0044780273965405,2023-03-07
275,9729774.693439633,2023-03-08,-0.0001874131489991,2023-03-08
276,9631191.93580775,2023-03-09,-0.0101320699335775,2023-03-09
277,9516834.564599996,2023-03-10,-0.0118736467895096,2023-03-10
278,9468870.988708586,2023-03-13,-0.0050398665192542,2023-03-13
279,9526225.912169617,2023-03-14,0.006057208248948,2023-03-14
280,9418299.975615662,2023-03-15,,2023-03-15
281,9471509.720619865,2023-03-16,0.0056496124716738,2023-03-16
282,9349814.41762098,2023-03-17,-0.0128485644409938,2023-03-17
283,9401704.77320086,2023-03-20,0.0055498808064131,2023-03-20
284,9496070.72664271,2023-03-21,0.0100371108983166,2023-03-21
285,9425137.495102577,2023-03-22,-0.00746974549601,2023-03-22
286,9425627.854777794,2023-03-23,5.2026792762616125e-05,2023-03-23
287,9446386.756821718,2023-03-24,0.0022023893117528,2023-03-24
288,9445696.751827003,2023-03-27,-7.304433033239466e-05,2023-03-27
289,9474179.43962051,2023-03-28,0.0030154141660323,2023-03-28
290,9526066.043346494,2023-03-29,0.0054766329956763,2023-03-29
291,9542497.605837137,2023-03-30,0.0017249053718368,2023-03-30
292,9605138.089193111,2023-03-31,0.00656436982679,2023-03-31
293,9595968.64443506,2023-04-03,-0.0009546395557153,2023-04-03
294,9493743.399623545,2023-04-04,-0.0106529365194204,2023-04-04
295,9498517.863441383,2023-04-05,0.0005029063475667,2023-04-05
296,9497341.934521846,2023-04-06,-0.0001238013063136,2023-04-06
297,9537891.43449128,2023-04-10,0.0042695630260547,2023-04-10
298,9580643.136991473,2023-04-11,0.0044823012291366,2023-04-11
299,9594229.457354993,2023-04-12,0.0014181010783151,2023-04-12
300,9629091.988547772,2023-04-13,,2023-04-13
301,9633928.286038753,2023-04-14,0.0005022589353942,2023-04-14
302,9636220.086085204,2023-04-17,0.0002378884270679,2023-04-17
303,9634746.65904757,2023-04-18,-0.0001529050835774,2023-04-18
304,9620745.894145066,2023-04-19,-0.0014531534038164,2023-04-19
305,9606352.642047722,2023-04-20,-0.0014960640532147,2023-04-20
306,9609416.000968715,2023-04-21,0.000318888868142,2023-04-21
307,9648823.727006525,2023-04-24,0.0041009491142682,2023-04-24
308,9585668.15027864,2023-04-25,-0.006545417194338,2023-04-25
309,9505347.721416576,2023-04-26,-0.0083792206868468,2023-04-26
310,9589296.78111414,2023-04-27,0.0088317715624874,2023-04-27
311,9625517.38699659,2023-04-28,0.0037771910400965,2023-04-28
312,9647408.218342911,2023-05-01,0.0022742498367822,2023-05-01
313,9597001.166952074,2023-05-02,-0.0052249319454521,2023-05-02
314,9569691.36923343,2023-05-03,-0.0028456595183803,2023-05-03
315,9521422.247010851,2023-05-04,-0.0050439580922914,2023-05-04
316,9609985.637589589,2023-05-05,0.0093014875594388,2023-05-05
317,9593237.910745071,2023-05-08,-0.0017427421305403,2023-05-08
318,9567276.87433311,2023-05-09,-0.0027061808175199,2023-05-09
319,9581915.823479827,2023-05-10,0.0015301061460855,2023-05-10
320,9559839.90140074,2023-05-11,,2023-05-11
321,9541517.938557403,2023-05-12,-0.0019165554059805,2023-05-12
322,9582578.917437166,2023-05-15,0.00430340110915,2023-05-15
323,9508082.0614024,2023-05-16,-0.0077741969752218,2023-05-16
324,9552628.941665731,2023-05-17,0.0046851594228627,2023-05-17
325,9571847.79963259,2023-05-18,0.002011892023046,2023-05-18
326,9575728.616527963,2023-05-19,0.0004054407233182,2023-05-19
327,9565223.653876424,2023-05-22,-0.0010970405566224,2023-05-22
328,9510441.30181592,2023-05-23,-0.0057272421474746,2023-05-23
329,9454579.94156067,2023-05-24,-0.0058736875064445,2023-05-24
330,9490238.931335866,2023-05-25,0.0037716101609597,2023-05-25
331,9531154.441122606,2023-05-26,0.0043113255717557,2023-05-26
332,9519538.872551916,2023-05-30,-0.0012186948225887,2023-05-30
333,9457381.776272884,2023-05-31,-0.0065294230226059,2023-05-31
334,9512825.47308292,2023-06-01,0.0058624784450529,2023-06-01
335,9648695.555486271,2023-06-02,0.0142828314035405,2023-06-02
336,9628882.223419886,2023-06-05,-0.0020534726121728,2023-06-05
337,9629541.25143862,2023-06-06,6.844283723106415e-05,2023-06-06
338,9649691.804376991,2023-06-07,0.0020925766256372,2023-06-07
339,9689053.65779842,2023-06-08,0.0040790788161311,2023-06-08
340,9661838.460685384,2023-06-09,,2023-06-09
341,9750478.83865936,2023-06-12,0.009174276545262,2023-06-12
342,9804563.056463972,2023-06-13,0.0055468268481519,2023-06-13
343,9785778.352231992,2023-06-14,-0.0019159144700073,2023-06-14
344,9858954.084137704,2023-06-15,0.0074777630630702,2023-06-15
345,9841808.349387908,2023-06-16,-0.0017391028098387,2023-06-16
346,9769755.277045624,2023-06-20,-0.0073211212598713,2023-06-20
347,9783176.968459776,2023-06-21,0.0013738001652596,2023-06-21
348,9797897.93003524,2023-06-22,0.0015047219960269,2023-06-22
349,9757148.5861915,2023-06-23,-0.0041589884008512,2023-06-23
350,9780367.275523815,2023-06-26,0.0023796592956653,2023-06-26
351,9851219.068920758,2023-06-27,0.0072442876019853,2023-06-27
352,9864459.36324882,2023-06-28,0.001344025976423,2023-06-28
353,9879354.80929669,2023-06-29,0.00151001139539,2023-06-29
354,9949056.601654332,2023-06-30,0.0070552980131912,2023-06-30
355,9926659.942828355,2023-07-03,-0.0022511339238187,2023-07-03
356,9899376.660461156,2023-07-05,-0.0027484856461624,2023-07-05
